title,label,description,detail,date
ApsaraDB for MySQL - Supports Backup and Restoration for Individual Databases and Tables,New Features,ApsaraDB RDS for MySQL 5.6 and 5.7 support backup and restoration for individual databases and tables.,"Target customers: users of ApsaraDB RDS for MySQL 5.6 High-availability Edition and 5.7 High-availability Edition with local SSD, users in the game and enterprise resource planning (ERP) industries, independent software vendors (ISVs), and users that want to efficiently start game services, deploy business, and restore a single table for an individual user in software as a service (SaaS) scenarios.
Features released: ApsaraDB RDS for MySQL 5.6 High-availability Edition and 5.7 High-availability Edition with local SSD support backup and restoration for individual databases and tables. You can enable Restore Individual Database/Table in Backup Settings. Afterward, ApsaraDB RDS for MySQL will perform automatic backup operations for individual tables. Compared with traditional instance-level backup and restoration, this feature allows you to specify the time for restoring individual tables and greatly improves the restoration efficiency. This feature also supports restoration to a new instance or to an existing instance. If you choose restoration to an existing instance, the system will check conflicts of database names and table names. Therefore, you do not need to purchase another instance for restoration and can avoid complex data migration after restoration.
Be aware that you cannot disable Restore Individual Database/Table again after you enable this feature.
",Aug 19 2019
Anti-DDoS Pro - Supports Optimized Association with Websites,New Features,Anti-DDoS Pro supports optimized association with websites. You can easily associate websites with Anti-DDoS Pro by using an optimized configuration wizard. Anti-DDoS Pro also supports association with websites based on CNAME records.,"Target customers: Anti-DDoS Pro users.
Features released: You can easily associate websites with Anti-DDoS Pro by using an optimized configuration wizard. Anti-DDoS Pro also supports association with websites based on CNAME records. In this way, Anti-DDoS Pro can flexibly perform the failover operation by using CNAME records.",Aug 18 2019
Object Storage Service - Supports Limiting the Upload and Download Rates in a Single Connection,New Features,Object Storage Service (OSS) allows you to specify the upload and download rates in a single connection.,"Target customers: users of disks, data sharing, and other similar applications that support rate limiting according to membership levels.
Features released: you can specify the upload and download rates in a single connection when you call the corresponding OSS API operation.
",Aug 16 2019
Cloud Storage Gateway - Support SSD Caching,Experience Enhancements,"Cloud Storage Gateway supports solid-state drive (SSD) caching. This cache supports up to 20,000 input/output operations per second (IOPS) and the bandwidth of up to 230 MB/s.","Features released: you can use a local SSD cache for Cloud Storage Gateway. This cache supports low latency measured in microseconds and high bandwidth of up to 230 MB/s. Therefore, Cloud Storage Gateway can empower high-performance Website construction and data storage in office automation systems for enterprises.",Aug 15 2019
ApsaraDB for MySQL - Supports Reactivating Released Instances Based on Backup Sets in the Locked Instances Tab,New Features,ApsaraDB RDS for MySQL supports reactivating released subscription instances based on the corresponding backup sets in the Locked Instances tab in the console.,"Target customers: ApsaraDB RDS for MySQL users to reactivate subscription instances that are released after the instances have been expired for seven days.
Features released: ApsaraDB RDS for MySQL supports reactivating released subscription instances by using the corresponing backup sets in the Locked Instances tab in the console. Expired subscription instances stay in the locked state in the Instances tab for seven days. If you renew the instances within seven days, the instances change to the running state. If you do not renew the expired instances within seven days, the instances are released on the eighth day after expiration and the corresponding backup sets are saved to the Locked Instances tab. Within the subsequent eight days, you can reactivate the instances by using the backup sets. All subscription instances of ApsaraDB RDS for MySQL support reactivating released subscription instances by using the corresponding backup sets in the Locked Instances tab. In this way, you can restore data for instances that have been expired for long time. This is a free feature for subscription instances.",Aug 15 2019
Object Storage Service - Supports Cross-region Replication in China (Hong Kong) and Some Regions Outside China,New Zones\Regions,,"Features released: Object Storage Service (OSS) supports cross-region replication in regions including China (Hong Kong), US (Silicon Valley), US (Virginia), Singapore, Japan (Tokyo), Germany (Frankfurt), Malaysia (Kuala Lumpur), India (Mumbai), UK (London), and Australia (Sydney). You can configure the rules for cross-region replication in the console.",Aug 14 2019
Threat Detection Service - Supports the Assets Module,Experience Enhancements,"You can manage cloud assets, such as domain names and cloud services in the Assets module.","Features released: Security Center supports the Assets Module. With this module, you can manage cloud assets, such as domain names and cloud services.",Aug 14 2019
Threat Detection Service - Supports Detection of SQL Injection Vulnerabilities,New Features,"With the third-generation intelligent algorithm engine, you can use Security Center to detect SQL injection vulnerabilities and identify any potential risks to data security.","Target customers: Security Center Enterprise users
Features released: Security Center Enterprise supports detection of SQL injection vulnerabilities.",Aug 12 2019
ApsaraDB for MySQL - Supports Querying Historical Events,New Features,ApsaraDB RDS for MySQL supports querying historical events. You can query all operation records of instances in a region.,"Target customers: ApsaraDB RDS for MySQL customers who reside in security-sensitive industries, such as finance industry and governments. Historical events are applicable to the following audit compliance scenarios: 1. Track the instance management operations. 2. Audit the security of instance operations. 3. Audit the management operation compliance of cloud service providers.
Features released: ApsaraDB RDS for MySQL supports querying historical events. After you enable this feature, you can view historical events, such as instance creation and parameter modification, during a period of time in the region. Historical events include the O&M operation logs of users and Alibaba Cloud. This feature provides secure and trusted event tracing, allowing you to audit the management and operation compliance of database instances. You can activate historical event query in the ApsaraDB for RDS console. This feature is free of charge during the free trial period. You will be notified of the billing details in the future.",Aug 26 2019
Website Threat Inspector - Cloud Security Scanner V2.3.1 Released,New Features,The Risks page is optimized. You can query risks by assets. You can refresh the Task Instances page. Issues submitted by users are fixed.,"Target customers: customers who have assets on the public network.
Features released: 1. The Risks page is optimized. You can query risks by assets. You can view vulnerability details on the right-side pane.
2. You can refresh the Task Instances page.
3. Issues submitted by users are fixed. The style of widgets is optimized.
4. You can click Create Task on the Scanning Tasks page.",Aug 25 2019
ApsaraDB for MySQL - Supports Disabling SSL,New Features,ApsaraDB RDS for MySQL allows you to disable SSL.,"Target customers: users of ApsaraDB RDS for MySQL instances. After you enable SSL, you must disable SSL in the following scenarios: 1. After  the network where an RDS instance resides changes from a classic network to a VPC. 2. When you need to terminate public network connection of an RDS instance.
Features released: you can disable SSL for an ApsaraDB RDS for MySQL instance in the ApsaraDB for RDS console. All MySQL versions are supported. If you disable SSL, the database access performance is improved, but data security is compromised. We do not recommend that you disable SSL in non-secure environments. To disable SSL, you must restart the RDS instance, which triggers switchover between the primary instance and the secondary instance. Therefore, we recommend that you operate during off-peak hours to reduce the impact.",Aug 22 2019
Threat Detection Service - Supports Cloud-native Security Capabilities,Experience Enhancements,"Security Center provides cloud-native security capabilities that allow you to handle security threats with ease. Security Center support the interception of malicious IP addresses, detection and removal of binary viruses and persistent Trojans.","1. Supports the interception of malicious IP addresses, clean-up of malicious download sources, and detection and removal of binary viruses and persistent Trojans.
2. Supports batch handling based on the same alert, reducing repeated workload of O&M engineers.",Aug 21 2019
ApsaraDB for MySQL - Supports Temporary Disabling of Automatic Failover,New Features,ApsaraDB RDS for MySQL High-availability Edition allows you to disable automatic failover for a maximum of one week.,"Target customers: users of ApsaraDB RDS for MySQL High-availability Edition. You can temporarily disable automatic failover in the following scenarios: 1. During major promotional activities, you want to ensure system availability. 2. When you upgrade important application systems, you want to avoid potential risks incurred by automatic failover. 3. During major events, such as national major festivals, you want to ensure system availability.
Features released: ApsaraDB RDS for MySQL High-availability Edition allows you to disable automatic failover for a maximum of one week. To disable automatic failover, you can log on to the ApsaraDB for RDS console, go to the Service Availability page, and click Configure Primary/Secondary Switchover. You can set the deadline for disabling automatic failover. After the configuration is complete, the status of automatic failover is displayed as Temporarily Disabled on the Availability Information page and the deadline is displayed.",Aug 21 2019
Website Threat Inspector - Supports Detecting Some Announced Struts2 Criticial Vulnerabilities,New Features,Cloud Security Scanner supports detecting some announced Struts2 critical vulnerabilities. You can detect the vulnerabilities by using the corresponding plug-ins.,"Target customers: Struts2 users.
Features released: Cloud Security Scanner supports detecting some announced Struts2 critical vulnerabilities including S2-007, S2-012, S2-013, S2-015, S2-053, and S2-057. You can detect the vulnerabilities by using the corresponding plug-ins.
",Aug 19 2019
ApsaraDB for POLARDB - Officially Launched in Nine Regions Across the World,New Zones\Regions,,"China (Beijing), China (Zhangjiakou), China (Hangzhou), China (Shanghai), China (Shenzhen), China (Hohhot), China (Hong Kong), Singapore, and US (Silicon Valley)",Sep 04 2019
Anti-DDoS Pro - V6.5.2.0 Supports Custom Retention Period for Full Logs,Experience Enhancements,This allows you to flexibly configure the retention period based on your business scale and log retention requirements.,The new Anti-DDoS Pro allows you to customize the retention period of full logs. You can configure a custom retention period based on your log capacity and log retention requirements to meet your business needs and audit requirements.,Sep 02 2019
